Name,Avg_Rview,Reviews,Category,Address ,Phone,Website
,,,,,,
,,,,,,
Adarsh Public School,4.3,56,CBSE School,"Opp Appayya Temple, Vuda Colony, opp. Sivalayam, opp. ayyappa temple",089125 11251,https://www.adarshpublicschool.org/
Geetanjali School (CBSE),4.5,221,CBSE School,,063004 95177,http://www.geetanjalischool.in/
Aravinda high school CBSE,4.7,32,Private educational institution,"Opposit road, Aparna Amaravathi one",090328 36683,
Candor National Public School,4.6,190,General education school,"Tirupati  Bangalore Highway, Kanipakam  Tirupati Rd",090949 22222,https://candornps.com/
Rishi Valley School,4.6,287,Private educational institution,JFP3+GHJ,085712 80044,http://www.rishivalley.org/
"Sree Vidyanikethan International School, Tirupati",4.2,226,International school,NH 71 Sree Sainath Nagar A.Rangampet,091609 99966,https://www.svis.school/tirupati/
Next Gen International School,4.7,148,International school,"Kothapatnam Road, Koppole",088863 98996,https://nextgenschool.in/
Sri Kasturi EM High School | Top School & Best School,4.9,146,High school,"27/53, Chinna Rangaraju St, near one town police station",094410 85258,https://wa.me/c/918121653168
The Vizag International School,4,61,General education school,"No.382, Sy, 2, Korukonda Rd",099494 01711,http://thevizaginternationalschool.org/
CHITTURI HIGH SCHOOL,4.3,101,CBSE School,,093473 22434,http://chs.ac.in/
Era International School,4.6,177,General education school,"PG6P+HM8, Bellary  Uravakonda  Anantapur Rd",070953 99991,
Dr. K.K.R's Happy Valley School,4.3,334,International school,Tadepalli,0866 242 8100,http://www.kkrhappyvalley.com/
St.Joseph's High School (State Syllabus),4.3,83,Private educational institution,"Amaravathi Rd, Opp. A.C College",0863 221 8668,http://www.stjosephschoolgnt.com/
RAINBOW SCHOOL,4.7,546,CBSE School,"Dhanalakshmipuram, to",094924 00555,http://www.rainbowschoolnellore.com/
SHLOKA A BIRLA CBSE RESIDENTIAL & DAY SCHOOL,4.6,89,CBSE School,Banglore Highway,070366 20222,https://www.shlokaschooltirupati.com/
Maddi Subba Rao English Medium High School,4.5,69,School,"11178, beside S.K.P.V.V Hindu High School, Kothapet,",0866 256 5718,http://msremhs.edu.in/
Akshara School,4.5,167,General education school,NFCL TOWNSHIP,0884 236 5053,http://www.aksharaschoolkakinada.org/
Ameya World School,4.2,165,CBSE School,,080992 28212,http://www.ameyaworldschool.in/
Sri Rama Rural Academy,4.7,231,School,Tenali Revenue Division Kolluru mandal,098491 25146,http://www.sriramaruralacademy.com/
N.St.Mathew's Public School,4.6,527,School,,0866 247 6519,http://www.nstmathews.org/
Accord School,4.4,467,CBSE School,"Rc road, Chiguruwada",095819 78737,http://www.theaccordschool.com/
Sri Patibandla Sitaramaiah High School CBSE,4.6,120,High school,Lakshmipuram Main Rd,091263 33555,http://www.spshsem.com/
Delhi Public School,4.1,259,CBSE School,"NH 5, opposite Best Price",0866 284 4844,http://www.dpsvijayawada.org/
KCP Siddhartha Adarsh Residential Public School,4.5,233,Boarding school,"Navata Transport Regnl. Office, KanuruAutonagar Road Opp",086884 04675,http://kcpsarpschool.com/
THE HARBOR INTERNATIONAL SCHOOL  THIS,4.1,168,General education school,"0.4 metres from Anandapuram Bheemili Y jn, Dorathota village",094938 87644,http://www.theharborschool.in/
