"Maps_url","Name","Avg_review","Reviews","Category","Address","Phone"
"","","","","","",""
"","","","","","",""
"https://www.google.com/maps/place/Sarath+City+Capital+Mall/data=!4m7!3m6!1s0x3bcb93c8f42a1489:0x57fc4e27fb6901b2!8m2!3d17.4575952!4d78.3639493!16s%2Fg%2F11g8btzw00!19sChIJiRQq9MiTyzsRsgFp-ydO_Fc?authuser=0&hl=en&rclk=1","Sarath City Capital Mall","4.5","(82,495)","Shopping mall","·","040 6821 8333"
"https://www.google.com/maps/place/Inorbit+Mall+Cyberabad/data=!4m7!3m6!1s0x3bcb972fe66d4711:0x7f2d27691ca15313!8m2!3d17.4335554!4d78.3865168!16s%2Fm%2F09gkt3j!19sChIJEUdt5i-XyzsRE1OhHGknLX8?authuser=0&hl=en&rclk=1","Inorbit Mall Cyberabad","4.5","(125,980)","Shopping mall","·","040 4488 0000"
"https://www.google.com/maps/place/City+Center+Mall/data=!4m7!3m6!1s0x3bcb912ea1cf8915:0xa465794b40397bf!8m2!3d17.4150974!4d78.4488686!16s%2Fg%2F1tgf676v!19sChIJFYnPoS6RyzsRv5cDtJRXRgo?authuser=0&hl=en&rclk=1","City Center Mall","4.2","(25,739)","Shopping mall","·",""
"https://www.google.com/maps/place/GVK+One+Mall/data=!4m7!3m6!1s0x3bcb9736975c54b9:0xb24847634360df71!8m2!3d17.4187203!4d78.4486097!16s%2Fm%2F0j623vb!19sChIJuVRclzaXyzsRcd9gQ2NHSLI?authuser=0&hl=en&rclk=1","GVK One Mall","4.3","(72,192)","Shopping mall","·","040 4276 7600"
"https://www.google.com/maps/place/Hyderabad+Central/data=!4m7!3m6!1s0x3bcb917fda50af7b:0x234398bef57785f5!8m2!3d17.4266059!4d78.4529231!16s%2Fm%2F025z0p5!19sChIJe69Q2n-RyzsR9YV39b6YQyM?authuser=0&hl=en&rclk=1","Hyderabad Central","4.1","(45,810)","Shopping mall","·",""
"https://www.google.com/maps/place/Next+Galleria+Mall/data=!4m7!3m6!1s0x3bcb9784e81ba693:0x2d9019970b35d70!8m2!3d17.4286551!4d78.450496!16s%2Fg%2F11fhv3w3wl!19sChIJk6Yb6ISXyzsRcF2zcJkB2QI?authuser=0&hl=en&rclk=1","Next Galleria Mall","4.3","(16,147)","Shopping mall","·","040 4546 5200"
"https://www.google.com/maps/place/GSM+Mall+%26+Multiplex/data=!4m7!3m6!1s0x3bcb92890bb7a273:0x75f04e86c5e9d52c!8m2!3d17.4961327!4d78.3356342!16s%2Fg%2F11c6v8rjzp!19sChIJc6K3C4mSyzsRLNXpxYZO8HU?authuser=0&hl=en&rclk=1","GSM Mall & Multiplex","4.2","(28,267)","Shopping mall","·","1800 4254 6464"
"https://www.google.com/maps/place/Manjeera+Mall/data=!4m7!3m6!1s0x3bcb918d02eec525:0xa946d5a3030a5991!8m2!3d17.4899643!4d78.3931271!16s%2Fg%2F1ptx91dby!19sChIJJcXuAo2RyzsRkVkKA6PVRqk?authuser=0&hl=en&rclk=1","Manjeera Mall","4.1","(51,822)","Shopping mall","·",""
